DevEUI,AppKey,CustVer,FwVer
0e504b3757509037,8649ec1c916d7578fa0e985be52a01bf,01,00.53.A
0e504b3758508837,8649ec1c9e6d6d78fa0e985bea2a19bf,01,00.53.A
0e504b3757509037,8649ec1c916d7578fa0e985be52a01bf,01,00.53.A
0e504b375850b537,8649ec1c9e6d5078fa0e985bea2a24bf,01,00.53.A
0e504b3762506637,8649ec1ca46d8378fa0e985bd02af7bf,01,00.53.A
0e504b3758507237,8649ec1c9e6d9778fa0e985bea2ae3bf,01,00.53.A
0e504b375c50a237,8649ec1c9a6d4778fa0e985bee2a33bf,01,00.53.A
05504b374750a737,8d49ec1c816d4278f10e985bf52a36bf,01,00.53.A
08504b3765507737,8049ec1ca36d9278fc0e985bd72ae6bf,01,00.53.A
0750523861508538,8f49f513a76d6077f30e8154d32a14b0,01,00.53.A
075052383e50a638,8f49f513f86d4377f30e81548c2a37b0,01,00.53.A
0750523825509d38,8f49f513e36d7877f30e8154972a0cb0,01,00.53.A
0750523829508e38,8f49f513ef6d6b77f30e81549b2a1fb0,01,00.53.A
0e504b3772509537,8649ec1cb46d7078fa0e985bc02a04bf,01,00.53.A
0750523827508f38,8f49f513e16d6a77f30e8154952a1eb0,01,00.53.A
0e504b3762506c37,8649ec1ca46d8978fa0e985bd02afdbf,01,00.53.A
0e504b3762506c37,8649ec1ca46d8978fa0e985bd02afdbf,02,00.53.A
06504b3762507c37,8e49ec1ca46d9978f20e985bd02aedbf,02,00.53.A
0e504b3762506c37,8649ec1ca46d8978fa0e985bd02afdbf,02,00.53.A
06504b3762507c37,8e49ec1ca46d9978f20e985bd02aedbf,02,00.53.A
0750523827508f38,8f49f513e16d6a77f30e8154952a1eb0,02,00.53.A
0e504b3758507237,8649ec1c9e6d9778fa0e985bea2ae3bf,02,00.53.A
0e504b3772509537,8649ec1cb46d7078fa0e985bc02a04bf,02,00.53.A
0750523829508e38,8f49f513ef6d6b77f30e81549b2a1fb0,02,00.53.A
0750523825509d38,8f49f513e36d7877f30e8154972a0cb0,02,00.53.A
075052383e50a638,8f49f513f86d4377f30e81548c2a37b0,02,00.53.A
0750523861508538,8f49f513a76d6077f30e8154d32a14b0,02,00.53.A
08504b3765507737,8049ec1ca36d9278fc0e985bd72ae6bf,02,00.53.A
05504b374750a737,8d49ec1c816d4278f10e985bf52a36bf,02,00.53.A
05504b373f50b237,8d49ec1cf96d5778f10e985b8d2a23bf,02,00.53.A
0e504b3753507a37,8649ec1c956d9f78fa0e985be12aebbf,02,00.53.A
0e504b373450a337,8649ec1cf26d4678fa0e985b862a32bf,02,00.53.A
0e504b373d509a37,8649ec1cfb6d7f78fa0e985b8f2a0bbf,02,00.53.A
05504b3744508c37,8d49ec1c826d6978f10e985bf62a1dbf,02,00.53.A
0e504b3764507b37,8649ec1ca26d9e78fa0e985bd62aeabf,02,00.53.A
0750523861508938,8f49f513a76d6c77f30e8154d32a18b0,02,00.53.A
0e504b3762509637,8649ec1ca46d7378fa0e985bd02a07bf,02,00.53.A
06504b375c507137,8e49ec1c9a6d9478f20e985bee2ae0bf,02,00.53.A
06504b3736506c37,8e49ec1cf06d8978f20e985b842afdbf,02,00.53.A
18504b3261508532,9049ec19a76d607dec0e985ed32a14ba,02,00.53.A
0e504b376350b937,8649ec1ca56d5c78fa0e985bd12a28bf,02,00.53.A
075052383950b138,8f49f513ff6d5477f30e81548b2a20b0,02,00.53.A
0e504b3741509f37,8649ec1c876d7a78fa0e985bf32a0ebf,02,00.53.A
08504b375a50a537,8049ec1c9c6d4078fc0e985be82a34bf,02,00.53.A
0e504b3765507337,8649ec1ca36d9678fa0e985bd72ae2bf,02,00.53.A
0e504b374d50ad37,8649ec1c8b6d4878fa0e985bff2a3cbf,02,00.53.A
0e504b375f507437,8649ec1c996d9178fa0e985bed2ae5bf,02,00.53.A
08504b376c509b37,8049ec1caa6d7e78fc0e985bde2a0abf,02,00.53.A
05504b3748509437,8d49ec1c8e6d7178f10e985bfa2a05bf,02,00.53.A
0e504b373a508c37,8649ec1cfc6d6978fa0e985b882a1dbf,02,00.53.A
08504b376e508837,8049ec1ca86d6d78fc0e985bdc2a19bf,02,00.53.A
05504b374b508a37,8d49ec1c8d6d6f78f10e985bf92a1bbf,02,00.53.A
0e504b3755507837,8649ec1c936d9d78fa0e985be72ae9bf,02,00.53.A
18504b3261506432,9049ec19a76d817dec0e985ed32af5ba,02,00.53.A
0e504b3734508e37,8649ec1cf26d6b78fa0e985b862a1fbf,02,00.53.A
0e504b3766508e37,8649ec1ca06d6b78fa0e985bd42a1fbf,02,00.53.A
0e504b375d508337,8649ec1c9b6d6678fa0e985bef2a12bf,02,00.53.A
075052383d508d38,8f49f513fb6d6877f30e81548f2a1cb0,02,00.53.A
0e504b3758507137,8649ec1c9e6d9478fa0e985bea2ae0bf,02,00.53.A
0e504b375b50bb37,8649ec1c9d6d5e78fa0e985be92a2abf,02,00.53.A
0e504b3762507737,8649ec1ca46d9278fa0e985bd02ae6bf,02,00.53.A
0e504b3734508637,8649ec1cf26d6378fa0e985b862a17bf,02,00.53.A
0e504b3757509d37,8649ec1c916d7878fa0e985be52a0cbf,02,00.53.A
0e504b375d50b037,8649ec1c9b6d5578fa0e985bef2a21bf,02,00.53.A
0e504b375050aa37,8649ec1c966d4f78fa0e985be22a3bbf,02,00.53.A
0e504b376350a337,8649ec1ca56d4678fa0e985bd12a32bf,02,00.53.A
0e504b376650a637,8649ec1ca06d4378fa0e985bd42a37bf,02,00.53.A
0750523825508e38,8f49f513e36d6b77f30e8154972a1fb0,02,00.53.A
075052382b509338,8f49f513ed6d7677f30e8154992a02b0,02,00.53.A
0e504b3757508737,8649ec1c916d6278fa0e985be52a16bf,02,00.53.A
0e504b375c507037,8649ec1c9a6d9578fa0e985bee2ae1bf,02,00.53.A
0750523826509938,8f49f513e06d7c77f30e8154942a08b0,02,00.53.A
0e504b375d507337,8649ec1c9b6d9678fa0e985bef2ae2bf,02,00.53.A
0e504b3750509a37,8649ec1c966d7f78fa0e985be22a0bbf,02,00.53.A
0e504b3757509437,8649ec1c916d7178fa0e985be52a05bf,02,00.53.A
0e504b376650ad37,8649ec1ca06d4878fa0e985bd42a3cbf,02,00.53.A
0e504b3764509a37,8649ec1ca26d7f78fa0e985bd62a0bbf,02,00.53.A
0e504b3766508037,8649ec1ca06d6578fa0e985bd42a11bf,02,00.53.A
0e504b375c50b037,8649ec1c9a6d5578fa0e985bee2a21bf,02,00.53.A
075052383c508f38,8f49f513fa6d6a77f30e81548e2a1eb0,02,00.53.A
0e504b375c506f37,8649ec1c9a6d8a78fa0e985bee2afebf,02,00.53.A
0e504b375d506d37,8649ec1c9b6d8878fa0e985bef2afcbf,02,00.53.A
075052382a509538,8f49f513ec6d7077f30e8154982a04b0,02,00.53.A
0e504b375850a537,8649ec1c9e6d4078fa0e985bea2a34bf,02,00.53.A
0e504b375150b537,8649ec1c976d5078fa0e985be32a24bf,02,00.53.A
0e504b375d507137,8649ec1c9b6d9478fa0e985bef2ae0bf,02,00.53.A
0e504b3758506537,8649ec1c9e6d8078fa0e985bea2af4bf,02,00.53.A
075052383f50b538,8f49f513f96d5077f30e81548d2a24b0,02,00.53.A
06504b3734506e37,8e49ec1cf26d8b78f20e985b862affbf,02,00.53.A
0e504b372e508f37,8649ec1ce86d6a78fa0e985b9c2a1ebf,02,00.53.A
0e504b3771509037,8649ec1cb76d7578fa0e985bc32a01bf,02,00.53.A
0e504b372f509e37,8649ec1ce96d7b78fa0e985b9d2a0fbf,02,00.53.A
08504b3759507c37,8049ec1c9f6d9978fc0e985beb2aedbf,02,00.53.A
0e504b373a50ac37,8649ec1cfc6d4978fa0e985b882a3dbf,02,00.53.A
0e504b375650a037,8649ec1c906d4578fa0e985be42a31bf,02,00.53.A
0e504b373b50b137,8649ec1cfd6d5478fa0e985b892a20bf,02,00.53.A
0e504b375a506637,8649ec1c9c6d8378fa0e985be82af7bf,02,00.53.A
08504b373250ac37,8049ec1cf46d4978fc0e985b802a3dbf,02,00.53.A
08504b376e509c37,8049ec1ca86d7978fc0e985bdc2a0dbf,02,00.53.A
0e504b3763509f37,8649ec1ca56d7a78fa0e985bd12a0ebf,02,00.53.A
0e504b376350af37,8649ec1ca56d4a78fa0e985bd12a3ebf,02,00.53.A
0e504b376350b837,8649ec1ca56d5d78fa0e985bd12a29bf,02,00.53.A
0e504b3764506837,8649ec1ca26d8d78fa0e985bd62af9bf,02,00.53.A
0e504b3766509137,8649ec1ca06d7478fa0e985bd42a00bf,02,00.53.A
075052382c508b38,8f49f513ea6d6e77f30e81549e2a1ab0,02,00.53.A
0e504b375150b937,8649ec1c976d5c78fa0e985be32a28bf,02,00.53.A
0e504b3751509137,8649ec1c976d7478fa0e985be32a00bf,02,00.53.A
075052383b507c38,8f49f513fd6d9977f30e8154892aedb0,02,00.53.A
0e504b3763508d37,8649ec1ca56d6878fa0e985bd12a1cbf,02,00.53.A
075052385350be38,8f49f513956d5b77f30e8154e12a2fb0,02,00.53.A
0e504b375050ae37,8649ec1c966d4b78fa0e985be22a3fbf,02,00.53.A
0e504b376450a037,8649ec1ca26d4578fa0e985bd62a31bf,02,00.53.A
075052382b50a338,8f49f513ed6d4677f30e8154992a32b0,02,00.53.A
075052382b50a138,8f49f513ed6d4477f30e8154992a30b0,02,00.53.A
075052382750a338,8f49f513e16d4677f30e8154952a32b0,02,00.53.A
0750523854507e38,8f49f513926d9b77f30e8154e62aefb0,02,00.53.A
075052385250a338,8f49f513946d4677f30e8154e02a32b0,02,00.53.A
075052385250a038,8f49f513946d4577f30e8154e02a31b0,02,00.53.A
0e504b3757509237,8649ec1c916d7778fa0e985be52a03bf,02,00.53.A
0e504b3766507a37,8649ec1ca06d9f78fa0e985bd42aebbf,02,00.53.A
0e504b3766509a37,8649ec1ca06d7f78fa0e985bd42a0bbf,02,00.53.A
0e504b3757507d37,8649ec1c916d9878fa0e985be52aecbf,02,00.53.A
075052382b508d38,8f49f513ed6d6877f30e8154992a1cb0,02,00.53.A
0750523826509d38,8f49f513e06d7877f30e8154942a0cb0,02,00.53.A
075052382a508238,8f49f513ec6d6777f30e8154982a13b0,02,00.53.A
0750523828508138,8f49f513ee6d6477f30e81549a2a10b0,02,00.53.A
0750523853506f38,8f49f513956d8a77f30e8154e12afeb0,02,00.53.A
075052382c50a038,8f49f513ea6d4577f30e81549e2a31b0,02,00.53.A
075052382d508938,8f49f513eb6d6c77f30e81549f2a18b0,02,00.53.A
0e504b3762506437,8649ec1ca46d8178fa0e985bd02af5bf,02,00.53.A
0750523852507738,8f49f513946d9277f30e8154e02ae6b0,02,00.53.A
0e504b3758506237,8649ec1c9e6d8778fa0e985bea2af3bf,02,00.53.A
0e504b375d508e37,8649ec1c9b6d6b78fa0e985bef2a1fbf,02,00.53.A
0e504b375850a737,8649ec1c9e6d4278fa0e985bea2a36bf,02,00.53.A
0e504b3766507537,8649ec1ca06d9078fa0e985bd42ae4bf,02,00.53.A
0e504b375d50a137,8649ec1c9b6d4478fa0e985bef2a30bf,02,00.53.A
075052382650a138,8f49f513e06d4477f30e8154942a30b0,02,00.53.A
075052383950aa38,8f49f513ff6d4f77f30e81548b2a3bb0,02,00.53.A
0750523827508d38,8f49f513e16d6877f30e8154952a1cb0,02,00.53.A
0e504b3758507537,8649ec1c9e6d9078fa0e985bea2ae4bf,02,00.53.A
075052382c508d38,8f49f513ea6d6877f30e81549e2a1cb0,02,00.53.A
0e504b3758509037,8649ec1c9e6d7578fa0e985bea2a01bf,02,00.53.A
0e504b3758509437,8649ec1c9e6d7178fa0e985bea2a05bf,02,00.53.A
075052382750a438,8f49f513e16d4177f30e8154952a35b0,02,00.53.A
0750523824509e38,8f49f513e26d7b77f30e8154962a0fb0,02,00.53.A
0e504b375d507837,8649ec1c9b6d9d78fa0e985bef2ae9bf,02,00.53.A
0e504b3757506137,8649ec1c916d8478fa0e985be52af0bf,02,00.53.A
0e504b375c507137,8649ec1c9a6d9478fa0e985bee2ae0bf,02,00.53.A
0e504b375d50ad37,8649ec1c9b6d4878fa0e985bef2a3cbf,02,00.53.A
0e504b376350b437,8649ec1ca56d5178fa0e985bd12a25bf,02,00.53.A
0e504b3763506737,8649ec1ca56d8278fa0e985bd12af6bf,02,00.53.A
0e504b3762507b37,8649ec1ca46d9e78fa0e985bd02aeabf,02,00.53.A
0e504b3734509837,8649ec1cf26d7d78fa0e985b862a09bf,02,00.53.A
0e504b375d508437,8649ec1c9b6d6178fa0e985bef2a15bf,02,00.53.A
075052387550a338,8f49f513b36d4677f30e8154c72a32b0,02,00.53.A
18504b324f509c32,9049ec19896d797dec0e985efd2a0dba,02,00.53.A
075052384f508b38,8f49f513896d6e77f30e8154fd2a1ab0,02,00.53.A
0750523850509c38,8f49f513966d7977f30e8154e22a0db0,02,00.53.A
18504b3251509532,9049ec19976d707dec0e985ee32a04ba,02,00.53.A
065052384850a238,8e49f5138e6d4777f20e8154fa2a33b0,02,00.53.A
